BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE,SALE DATE
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6360,13,,A5,8665 15TH   AVENUE,,11228,1,0,1," 1,547 "," 1,428 ",1930,1,A5, -,5/25/16
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6361,11,,A5,71 BAY 10TH   STREET,,11228,1,0,1," 2,900 "," 1,660 ",1930,1,A5," 829,000 ",4/5/16
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6364,72,,A5,68 BAY 14TH STREET,,11214,1,0,1," 1,950 ", 972,1950,1,A5," 790,000 ",6/21/16
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6371,79,,A5,8668 19TH AVENUE,,11214,1,0,1," 2,223 "," 2,520 ",1930,1,A5," 788,000 ",3/31/16
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6373,73,,A1,50 BAY 23RD STREET,,11214,1,0,1," 2,417 "," 1,672 ",1930,1,A1," 750,000 ",12/17/15
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6394,5,,A5,160 BAY 10TH STREET,,11228,1,0,1," 2,469 "," 1,836 ",1940,1,A5," 920,000 ",2/4/16
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6401,7,,S1,1731 BATH AVENUE,,11214,1,1,2," 1,112 "," 1,520 ",1920,1,S1," 40,000 ",2/10/16
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6401,7,,S1,1731 BATH AVENUE,,11214,1,1,2," 1,112 "," 1,520 ",1920,1,S1, -,10/17/15
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6401,8,,S1,1729 BATH AVENUE,,11214,1,1,2," 1,112 "," 1,520 ",1920,1,S1, -,2/7/16
3,BATH BEACH,01  ONE FAMILY DWELLINGS,1,6401,18,,A5,8739 BAY 16TH STREET,,11214,1,0,1," 2,417 "," 1,462 ",1925,1,A5," 839,000 ",7/11/16
